"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",4.053,0.582,6.959,0
"SexF",2.196,0.252,8.713,0
"AgeI",2.11,0.296,7.131,0
"Subspeciesmontanus",-0.768,0.556,-1.382,0.1686
"Subspeciesshufeldti",0.375,0.605,0.619,0.5365
"Subspeciesthurberi",0.32,0.5,0.64,0.5232
"Subspeciespinosus",1.29,0.591,2.181,0.0303
"dayssincemolt",-0.003,0.003,-1.367,0.1733
"specimenage",0.019,0.003,5.488,0
