"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",5.156,0.259,19.928,0
"SexF",-0.243,0.112,-2.168,0.0313
"AgeI",0.458,0.131,3.484,6e-04
"Subspeciesmontanus",-1.401,0.247,-5.677,0
"Subspeciesshufeldti",-0.684,0.269,-2.544,0.0117
"Subspeciesthurberi",0.014,0.222,0.064,0.9487
"Subspeciespinosus",1.555,0.263,5.919,0
"dayssincemolt",-0.001,0.001,-0.976,0.3305
"specimenage",0.002,0.002,1.075,0.2837
